"","publicationDate","country","total_awards","albumCount","lat","lon","continent"
"779","1981","Jamaica",0,6,"18","-76.8","North America"
"780","1981","Japan",0,3,"35.6833333333333","139.75","Asia"
"781","1981","Mexico",0,6,"19.4333333333333","-99.133333","Central America"
"782","1981","Netherlands",0,27,"52.35","4.916667","Europe"
"783","1981","New Zealand",0,3,"-41.3","174.783333","Australia"
"784","1981","Nigeria",0,1,"9.08333333333333","7.533333","Africa"
"785","1981","Norway",0,3,"59.9166666666667","10.75","Europe"
"786","1981","Philippines",0,1,"14.6","120.966667","Asia"
"787","1981","Poland",0,5,"52.25","21","Europe"
"788","1981","Portugal",0,9,"38.7166666666667","-9.133333","Europe"
"789","1981","Serbia",0,2,"44.8333333333333","20.5","Europe"
"790","1981","Slovakia",0,1,"48.15","17.116667","Europe"
"791","1981","South Africa",0,3,"-25.7","28.216667","Africa"
"792","1981","Spain",0,29,"40.4","-3.683333","Europe"
"793","1981","Sweden",0,18,"59.3333333333333","18.05","Europe"
"794","1981","Switzerland",0,4,"46.9166666666667","7.466667","Europe"
"795","1981","Turkey",0,3,"39.9333333333333","32.866667","Europe"
"796","1981","United Kingdom",43,254,"51.5","-0.083333","Europe"
"797","1981","United States",21,440,"38.883333","-77","Central America"
"798","1981","Unknown",0,79,"Unknown","Unknown","Unknown"
"799","1981","Venezuela",0,1,"10.4833333333333","-66.866667","South America"
"800","1982","Argentina",0,24,"-34.5833333333333","-58.666667","South America"
"801","1982","Australia",2,21,"-35.2666666666667","149.133333","Australia"
"802","1982","Austria",0,13,"48.2","16.366667","Europe"
"803","1982","Belgium",0,6,"50.8333333333333","4.333333","Europe"
"804","1982","Brazil",0,36,"-15.7833333333333","-47.916667","South America"
"805","1982","Canada",3,40,"45.4166666666667","-75.7","Central America"
"806","1982","Chile",0,4,"-33.45","-70.666667","South America"
"807","1982","Croatia",0,4,"45.8","16","Europe"
"808","1982","Cuba",0,1,"23.1166666666667","-82.35","North America"
"809","1982","Czech Republic",0,2,"50.0833333333333","14.466667","Europe"
"810","1982","Denmark",0,4,"55.6666666666667","12.583333","Europe"
"811","1982","Finland",0,16,"60.1666666666667","24.933333","Europe"
"812","1982","France",0,45,"48.8666666666667","2.333333","Europe"
"813","1982","Germany",0,82,"52.5166666666667","13.4","Europe"
"814","1982","Greece",0,5,"37.9833333333333","23.733333","Europe"
"815","1982","Hungary",0,1,"47.5","19.083333","Europe"
"816","1982","Indonesia",0,3,"-6.16666666666667","106.816667","Asia"
"817","1982","Ireland",0,7,"53.3166666666667","-6.233333","Europe"
"818","1982","Israel",0,3,"31.7666666666667","35.233333","Asia"
"819","1982","Italy",0,59,"41.9","12.483333","Europe"
"820","1982","Jamaica",0,8,"18","-76.8","North America"
"821","1982","Japan",0,3,"35.6833333333333","139.75","Asia"
"822","1982","Mexico",0,6,"19.4333333333333","-99.133333","Central America"
"823","1982","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"824","1982","Netherlands",0,27,"52.35","4.916667","Europe"
"825","1982","New Zealand",0,3,"-41.3","174.783333","Australia"
"826","1982","Norway",0,3,"59.9166666666667","10.75","Europe"
"827","1982","Poland",0,7,"52.25","21","Europe"
"828","1982","Portugal",0,10,"38.7166666666667","-9.133333","Europe"
"829","1982","Serbia",0,1,"44.8333333333333","20.5","Europe"
"830","1982","Slovakia",0,1,"48.15","17.116667","Europe"
"831","1982","South Africa",0,3,"-25.7","28.216667","Africa"
"832","1982","Spain",0,27,"40.4","-3.683333","Europe"
"833","1982","Sweden",4,18,"59.3333333333333","18.05","Europe"
"834","1982","Switzerland",0,2,"46.9166666666667","7.466667","Europe"
"835","1982","Turkey",0,7,"39.9333333333333","32.866667","Europe"
"836","1982","United Kingdom",13,289,"51.5","-0.083333","Europe"
"837","1982","United States",19,436,"38.883333","-77","Central America"
"838","1982","Unknown",1,87,"Unknown","Unknown","Unknown"
"839","1982","Venezuela",0,2,"10.4833333333333","-66.866667","South America"
"840","1983","Argentina",0,22,"-34.5833333333333","-58.666667","South America"
"841","1983","Australia",0,22,"-35.2666666666667","149.133333","Australia"
"842","1983","Austria",0,8,"48.2","16.366667","Europe"
"843","1983","Belgium",0,8,"50.8333333333333","4.333333","Europe"
"844","1983","Brazil",0,39,"-15.7833333333333","-47.916667","South America"
"845","1983","Canada",0,40,"45.4166666666667","-75.7","Central America"
"846","1983","Chile",0,2,"-33.45","-70.666667","South America"
"847","1983","Croatia",0,1,"45.8","16","Europe"
"848","1983","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"849","1983","Denmark",0,6,"55.6666666666667","12.583333","Europe"
"850","1983","Finland",0,13,"60.1666666666667","24.933333","Europe"
"851","1983","France",0,40,"48.8666666666667","2.333333","Europe"
"852","1983","Germany",1,63,"52.5166666666667","13.4","Europe"
"853","1983","Hungary",0,1,"47.5","19.083333","Europe"
"854","1983","Indonesia",0,1,"-6.16666666666667","106.816667","Asia"
"855","1983","Ireland",0,8,"53.3166666666667","-6.233333","Europe"
"856","1983","Israel",0,2,"31.7666666666667","35.233333","Asia"
"857","1983","Italy",1,54,"41.9","12.483333","Europe"
"858","1983","Jamaica",0,10,"18","-76.8","North America"
"859","1983","Japan",0,2,"35.6833333333333","139.75","Asia"
"860","1983","Mexico",0,10,"19.4333333333333","-99.133333","Central America"
"861","1983","Netherlands",0,26,"52.35","4.916667","Europe"
"862","1983","New Zealand",0,2,"-41.3","174.783333","Australia"
"863","1983","Norway",0,6,"59.9166666666667","10.75","Europe"
"864","1983","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"865","1983","Poland",0,12,"52.25","21","Europe"
"866","1983","Portugal",0,7,"38.7166666666667","-9.133333","Europe"
"867","1983","Serbia",0,1,"44.8333333333333","20.5","Europe"
"868","1983","Slovakia",0,1,"48.15","17.116667","Europe"
"869","1983","South Africa",0,3,"-25.7","28.216667","Africa"
"870","1983","Spain",0,23,"40.4","-3.683333","Europe"
"871","1983","Sweden",0,18,"59.3333333333333","18.05","Europe"
"872","1983","Switzerland",0,3,"46.9166666666667","7.466667","Europe"
"873","1983","Turkey",0,6,"39.9333333333333","32.866667","Europe"
"874","1983","United Kingdom",20,272,"51.5","-0.083333","Europe"
"875","1983","United States",17,445,"38.883333","-77","Central America"
"876","1983","Unknown",1,95,"Unknown","Unknown","Unknown"
"877","1983","Venezuela",0,2,"10.4833333333333","-66.866667","South America"
"878","1984","Argentina",0,23,"-34.5833333333333","-58.666667","South America"
"879","1984","Australia",0,29,"-35.2666666666667","149.133333","Australia"
"880","1984","Austria",1,13,"48.2","16.366667","Europe"
"881","1984","Belgium",0,6,"50.8333333333333","4.333333","Europe"
"882","1984","Bosnia and Herzegovina",0,1,"43.8666666666667","18.416667","Europe"
"883","1984","Brazil",0,40,"-15.7833333333333","-47.916667","South America"
"884","1984","Canada",3,43,"45.4166666666667","-75.7","Central America"
"885","1984","Chile",0,2,"-33.45","-70.666667","South America"
"886","1984","China",0,2,"39.9166666666667","116.383333","Asia"
"887","1984","Croatia",0,4,"45.8","16","Europe"
"888","1984","Cuba",0,1,"23.1166666666667","-82.35","North America"
"889","1984","Czech Republic",0,4,"50.0833333333333","14.466667","Europe"
"890","1984","Denmark",0,4,"55.6666666666667","12.583333","Europe"
"891","1984","Finland",0,12,"60.1666666666667","24.933333","Europe"
"892","1984","France",0,32,"48.8666666666667","2.333333","Europe"
"893","1984","Germany",4,67,"52.5166666666667","13.4","Europe"
"894","1984","Greece",0,4,"37.9833333333333","23.733333","Europe"
"895","1984","Hungary",0,1,"47.5","19.083333","Europe"
"896","1984","India",0,1,"28.6","77.2","Asia"
"897","1984","Indonesia",0,3,"-6.16666666666667","106.816667","Asia"
"898","1984","Ireland",0,5,"53.3166666666667","-6.233333","Europe"
"899","1984","Israel",0,1,"31.7666666666667","35.233333","Asia"
"900","1984","Italy",0,55,"41.9","12.483333","Europe"
"901","1984","Jamaica",2,7,"18","-76.8","North America"
"902","1984","Japan",0,2,"35.6833333333333","139.75","Asia"
"903","1984","Latvia",0,1,"56.95","24.1","Europe"
"904","1984","Mexico",0,12,"19.4333333333333","-99.133333","Central America"
"905","1984","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"906","1984","Netherlands",0,23,"52.35","4.916667","Europe"
"907","1984","New Zealand",0,3,"-41.3","174.783333","Australia"
"908","1984","Nigeria",0,1,"9.08333333333333","7.533333","Africa"
"909","1984","Norway",0,4,"59.9166666666667","10.75","Europe"
"910","1984","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"911","1984","Poland",0,12,"52.25","21","Europe"
"912","1984","Portugal",0,4,"38.7166666666667","-9.133333","Europe"
"913","1984","Serbia",0,4,"44.8333333333333","20.5","Europe"
"914","1984","South Africa",0,4,"-25.7","28.216667","Africa"
"915","1984","Spain",0,25,"40.4","-3.683333","Europe"
"916","1984","Sweden",0,23,"59.3333333333333","18.05","Europe"
"917","1984","Switzerland",0,2,"46.9166666666667","7.466667","Europe"
"918","1984","Turkey",0,4,"39.9333333333333","32.866667","Europe"
"919","1984","United Kingdom",17,260,"51.5","-0.083333","Europe"
"920","1984","United States",28,452,"38.883333","-77","Central America"
"921","1984","Unknown",12,104,"Unknown","Unknown","Unknown"
"922","1984","Uruguay",0,2,"-34.85","-56.166667","South America"
"923","1984","Venezuela",0,3,"10.4833333333333","-66.866667","South America"
"924","1985","Argentina",0,23,"-34.5833333333333","-58.666667","South America"
"925","1985","Australia",0,22,"-35.2666666666667","149.133333","Australia"
"926","1985","Austria",0,8,"48.2","16.366667","Europe"
"927","1985","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"928","1985","Bosnia and Herzegovina",0,2,"43.8666666666667","18.416667","Europe"
"929","1985","Brazil",0,43,"-15.7833333333333","-47.916667","South America"
"930","1985","Canada",4,49,"45.4166666666667","-75.7","Central America"
"931","1985","Chile",0,2,"-33.45","-70.666667","South America"
"932","1985","China",0,1,"39.9166666666667","116.383333","Asia"
"933","1985","Colombia",0,2,"4.6","-74.083333","South America"
"934","1985","Croatia",0,3,"45.8","16","Europe"
"935","1985","Czech Republic",0,6,"50.0833333333333","14.466667","Europe"
"936","1985","Denmark",0,5,"55.6666666666667","12.583333","Europe"
"937","1985","Finland",0,20,"60.1666666666667","24.933333","Europe"
"938","1985","France",0,48,"48.8666666666667","2.333333","Europe"
"939","1985","Germany",3,78,"52.5166666666667","13.4","Europe"
"940","1985","Greece",0,2,"37.9833333333333","23.733333","Europe"
"941","1985","Guatemala",0,1,"14.6166666666667","-90.516667","Central America"
"942","1985","Hungary",0,1,"47.5","19.083333","Europe"
"943","1985","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"944","1985","Ireland",0,10,"53.3166666666667","-6.233333","Europe"
"945","1985","Israel",0,3,"31.7666666666667","35.233333","Asia"
"946","1985","Italy",2,59,"41.9","12.483333","Europe"
"947","1985","Jamaica",0,6,"18","-76.8","North America"
"948","1985","Japan",0,2,"35.6833333333333","139.75","Asia"
"949","1985","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"950","1985","Mexico",0,19,"19.4333333333333","-99.133333","Central America"
"951","1985","Netherlands",0,18,"52.35","4.916667","Europe"
"952","1985","New Zealand",0,1,"-41.3","174.783333","Australia"
"953","1985","Norway",3,6,"59.9166666666667","10.75","Europe"
"954","1985","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"955","1985","Poland",0,11,"52.25","21","Europe"
"956","1985","Portugal",0,5,"38.7166666666667","-9.133333","Europe"
"957","1985","Romania",0,1,"44.4333333333333","26.1","Europe"
"958","1985","Serbia",0,2,"44.8333333333333","20.5","Europe"
"959","1985","Slovakia",0,2,"48.15","17.116667","Europe"
"960","1985","Slovenia",0,3,"46.05","14.516667","Europe"
"961","1985","South Africa",0,4,"-25.7","28.216667","Africa"
"962","1985","Spain",0,30,"40.4","-3.683333","Europe"
"963","1985","Sweden",0,18,"59.3333333333333","18.05","Europe"
"964","1985","Switzerland",0,9,"46.9166666666667","7.466667","Europe"
"965","1985","Turkey",0,6,"39.9333333333333","32.866667","Europe"
"966","1985","United Kingdom",25,261,"51.5","-0.083333","Europe"
"967","1985","United States",19,463,"38.883333","-77","Central America"
"968","1985","Unknown",0,98,"Unknown","Unknown","Unknown"
"969","1985","Uruguay",0,2,"-34.85","-56.166667","South America"
"970","1985","Venezuela",0,1,"10.4833333333333","-66.866667","South America"
"971","1986","Argentina",0,22,"-34.5833333333333","-58.666667","South America"
"972","1986","Australia",1,25,"-35.2666666666667","149.133333","Australia"
"973","1986","Austria",0,8,"48.2","16.366667","Europe"
"974","1986","Belgium",0,9,"50.8333333333333","4.333333","Europe"
"975","1986","Bosnia and Herzegovina",0,1,"43.8666666666667","18.416667","Europe"
"976","1986","Brazil",0,53,"-15.7833333333333","-47.916667","South America"
"977","1986","Canada",2,38,"45.4166666666667","-75.7","Central America"
"978","1986","Chile",0,4,"-33.45","-70.666667","South America"
"979","1986","China",0,3,"39.9166666666667","116.383333","Asia"
"980","1986","Colombia",0,1,"4.6","-74.083333","South America"
"981","1986","Cuba",0,2,"23.1166666666667","-82.35","North America"
"982","1986","Czech Republic",0,4,"50.0833333333333","14.466667","Europe"
"983","1986","Denmark",0,7,"55.6666666666667","12.583333","Europe"
"984","1986","Dominican Republic",0,1,"18.4666666666667","-69.9","North America"
"985","1986","Finland",0,17,"60.1666666666667","24.933333","Europe"
"986","1986","France",0,41,"48.8666666666667","2.333333","Europe"
"987","1986","Germany",1,63,"52.5166666666667","13.4","Europe"
"988","1986","Greece",0,7,"37.9833333333333","23.733333","Europe"
"989","1986","Hungary",0,4,"47.5","19.083333","Europe"
"990","1986","Indonesia",0,3,"-6.16666666666667","106.816667","Asia"
"991","1986","Ireland",0,8,"53.3166666666667","-6.233333","Europe"
"992","1986","Israel",0,1,"31.7666666666667","35.233333","Asia"
"993","1986","Italy",0,51,"41.9","12.483333","Europe"
"994","1986","Jamaica",0,6,"18","-76.8","North America"
"995","1986","Japan",0,6,"35.6833333333333","139.75","Asia"
"996","1986","Latvia",0,1,"56.95","24.1","Europe"
"997","1986","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"998","1986","Mexico",0,13,"19.4333333333333","-99.133333","Central America"
"999","1986","Netherlands",0,18,"52.35","4.916667","Europe"
"1000","1986","New Zealand",0,2,"-41.3","174.783333","Australia"
"1001","1986","Nigeria",0,1,"9.08333333333333","7.533333","Africa"
"1002","1986","Norway",0,5,"59.9166666666667","10.75","Europe"
"1003","1986","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"1004","1986","Poland",0,17,"52.25","21","Europe"
"1005","1986","Portugal",0,3,"38.7166666666667","-9.133333","Europe"
"1006","1986","Serbia",0,3,"44.8333333333333","20.5","Europe"
"1007","1986","Slovakia",0,2,"48.15","17.116667","Europe"
"1008","1986","Slovenia",0,2,"46.05","14.516667","Europe"
"1009","1986","Spain",0,28,"40.4","-3.683333","Europe"
"1010","1986","Sweden",2,20,"59.3333333333333","18.05","Europe"
"1011","1986","Switzerland",0,5,"46.9166666666667","7.466667","Europe"
"1012","1986","The Bahamas",0,1,"25.0833333333333","-77.35","North America"
"1013","1986","Turkey",0,13,"39.9333333333333","32.866667","Europe"
"1014","1986","United Kingdom",15,253,"51.5","-0.083333","Europe"
"1015","1986","United States",23,498,"38.883333","-77","Central America"
"1016","1986","Unknown",0,119,"Unknown","Unknown","Unknown"
"1017","1986","Uruguay",0,2,"-34.85","-56.166667","South America"
"1018","1986","Venezuela",0,3,"10.4833333333333","-66.866667","South America"
"1019","1987","Argentina",0,15,"-34.5833333333333","-58.666667","South America"
"1020","1987","Australia",3,30,"-35.2666666666667","149.133333","Australia"
"1021","1987","Austria",0,7,"48.2","16.366667","Europe"
"1022","1987","Belgium",0,7,"50.8333333333333","4.333333","Europe"
"1023","1987","Bosnia and Herzegovina",0,2,"43.8666666666667","18.416667","Europe"
"1024","1987","Brazil",1,60,"-15.7833333333333","-47.916667","South America"
"1025","1987","Canada",0,52,"45.4166666666667","-75.7","Central America"
"1026","1987","Chile",0,5,"-33.45","-70.666667","South America"
"1027","1987","China",0,2,"39.9166666666667","116.383333","Asia"
"1028","1987","Colombia",0,4,"4.6","-74.083333","South America"
"1029","1987","Croatia",0,3,"45.8","16","Europe"
"1030","1987","Denmark",0,8,"55.6666666666667","12.583333","Europe"
"1031","1987","Finland",0,22,"60.1666666666667","24.933333","Europe"
"1032","1987","France",0,42,"48.8666666666667","2.333333","Europe"
"1033","1987","Germany",2,75,"52.5166666666667","13.4","Europe"
"1034","1987","Greece",0,6,"37.9833333333333","23.733333","Europe"
"1035","1987","Hungary",0,4,"47.5","19.083333","Europe"
"1036","1987","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"1037","1987","Ireland",1,20,"53.3166666666667","-6.233333","Europe"
"1038","1987","Italy",1,64,"41.9","12.483333","Europe"
"1039","1987","Jamaica",0,5,"18","-76.8","North America"
"1040","1987","Japan",0,11,"35.6833333333333","139.75","Asia"
"1041","1987","Lithuania",0,1,"54.6833333333333","25.316667","Europe"
"1042","1987","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"1043","1987","Mexico",0,17,"19.4333333333333","-99.133333","Central America"
"1044","1987","Netherlands",1,21,"52.35","4.916667","Europe"
"1045","1987","New Zealand",0,1,"-41.3","174.783333","Australia"
"1046","1987","Norway",0,8,"59.9166666666667","10.75","Europe"
"1047","1987","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"1048","1987","Philippines",0,2,"14.6","120.966667","Asia"
"1049","1987","Poland",0,14,"52.25","21","Europe"
"1050","1987","Portugal",0,6,"38.7166666666667","-9.133333","Europe"
"1051","1987","Romania",0,1,"44.4333333333333","26.1","Europe"
"1052","1987","Serbia",0,2,"44.8333333333333","20.5","Europe"
"1053","1987","Slovakia",0,1,"48.15","17.116667","Europe"
"1054","1987","Slovenia",0,4,"46.05","14.516667","Europe"
"1055","1987","South Africa",0,4,"-25.7","28.216667","Africa"
"1056","1987","Spain",0,35,"40.4","-3.683333","Europe"
"1057","1987","Sweden",0,25,"59.3333333333333","18.05","Europe"
"1058","1987","Switzerland",0,11,"46.9166666666667","7.466667","Europe"
"1059","1987","Turkey",0,10,"39.9333333333333","32.866667","Europe"
"1060","1987","Ukraine",0,1,"50.4333333333333","30.516667","Europe"
"1061","1987","United Kingdom",17,249,"51.5","-0.083333","Europe"
"1062","1987","United States",27,533,"38.883333","-77","Central America"
"1063","1987","Unknown",0,117,"Unknown","Unknown","Unknown"
"1064","1987","Uruguay",0,2,"-34.85","-56.166667","South America"
"1065","1987","Venezuela",0,2,"10.4833333333333","-66.866667","South America"
"1066","1988","Argentina",0,24,"-34.5833333333333","-58.666667","South America"
"1067","1988","Australia",6,36,"-35.2666666666667","149.133333","Australia"
"1068","1988","Austria",0,10,"48.2","16.366667","Europe"
"1069","1988","Belgium",0,10,"50.8333333333333","4.333333","Europe"
"1070","1988","Brazil",0,34,"-15.7833333333333","-47.916667","South America"
"1071","1988","Bulgaria",0,1,"42.6833333333333","23.316667","Europe"
"1072","1988","Canada",0,60,"45.4166666666667","-75.7","Central America"
"1073","1988","Chile",0,1,"-33.45","-70.666667","South America"
"1074","1988","China",0,2,"39.9166666666667","116.383333","Asia"
"1075","1988","Colombia",0,3,"4.6","-74.083333","South America"
"1076","1988","Croatia",0,4,"45.8","16","Europe"
"1077","1988","Cuba",0,2,"23.1166666666667","-82.35","North America"
"1078","1988","Czech Republic",0,5,"50.0833333333333","14.466667","Europe"
"1079","1988","Denmark",0,8,"55.6666666666667","12.583333","Europe"
"1080","1988","Dominican Republic",0,2,"18.4666666666667","-69.9","North America"
"1081","1988","Finland",0,21,"60.1666666666667","24.933333","Europe"
"1082","1988","France",0,52,"48.8666666666667","2.333333","Europe"
"1083","1988","Germany",11,82,"52.5166666666667","13.4","Europe"
"1084","1988","Greece",0,2,"37.9833333333333","23.733333","Europe"
"1085","1988","Guatemala",0,1,"14.6166666666667","-90.516667","Central America"
"1086","1988","Hungary",0,3,"47.5","19.083333","Europe"
"1087","1988","Iceland",0,3,"64.15","-21.95","Europe"
"1088","1988","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"1089","1988","Ireland",0,12,"53.3166666666667","-6.233333","Europe"
"1090","1988","Italy",1,69,"41.9","12.483333","Europe"
"1091","1988","Jamaica",0,7,"18","-76.8","North America"
"1092","1988","Japan",0,13,"35.6833333333333","139.75","Asia"
"1093","1988","Latvia",0,1,"56.95","24.1","Europe"
"1094","1988","Lithuania",0,1,"54.6833333333333","25.316667","Europe"
"1095","1988","Mexico",0,18,"19.4333333333333","-99.133333","Central America"
"1096","1988","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"1097","1988","Netherlands",0,12,"52.35","4.916667","Europe"
"1098","1988","New Zealand",0,1,"-41.3","174.783333","Australia"
"1099","1988","Norway",0,8,"59.9166666666667","10.75","Europe"
"1100","1988","Philippines",0,1,"14.6","120.966667","Asia"
"1101","1988","Poland",0,11,"52.25","21","Europe"
"1102","1988","Portugal",0,3,"38.7166666666667","-9.133333","Europe"
"1103","1988","Romania",0,1,"44.4333333333333","26.1","Europe"
"1104","1988","Serbia",0,2,"44.8333333333333","20.5","Europe"
"1105","1988","Slovakia",0,2,"48.15","17.116667","Europe"
"1106","1988","Slovenia",0,1,"46.05","14.516667","Europe"
"1107","1988","South Africa",0,5,"-25.7","28.216667","Africa"
"1108","1988","Spain",0,25,"40.4","-3.683333","Europe"
"1109","1988","Sweden",0,22,"59.3333333333333","18.05","Europe"
"1110","1988","Switzerland",0,5,"46.9166666666667","7.466667","Europe"
"1111","1988","The Bahamas",0,1,"25.0833333333333","-77.35","North America"
"1112","1988","Turkey",0,9,"39.9333333333333","32.866667","Europe"
"1113","1988","United Kingdom",24,249,"51.5","-0.083333","Europe"
"1114","1988","United States",25,601,"38.883333","-77","Central America"
"1115","1988","Unknown",0,131,"Unknown","Unknown","Unknown"
"1116","1988","Uruguay",0,2,"-34.85","-56.166667","South America"
"1117","1988","Venezuela",0,2,"10.4833333333333","-66.866667","South America"
"1118","1989","Argentina",0,22,"-34.5833333333333","-58.666667","South America"
"1119","1989","Australia",8,23,"-35.2666666666667","149.133333","Australia"
"1120","1989","Austria",0,7,"48.2","16.366667","Europe"
"1121","1989","Belgium",1,5,"50.8333333333333","4.333333","Europe"
"1122","1989","Bosnia and Herzegovina",0,2,"43.8666666666667","18.416667","Europe"
"1123","1989","Brazil",0,54,"-15.7833333333333","-47.916667","South America"
"1124","1989","Canada",1,59,"45.4166666666667","-75.7","Central America"
"1125","1989","Chile",0,4,"-33.45","-70.666667","South America"
"1126","1989","China",0,2,"39.9166666666667","116.383333","Asia"
"1127","1989","Colombia",0,4,"4.6","-74.083333","South America"
"1128","1989","Croatia",0,1,"45.8","16","Europe"
"1129","1989","Cuba",0,1,"23.1166666666667","-82.35","North America"
"1130","1989","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"1131","1989","Denmark",0,6,"55.6666666666667","12.583333","Europe"
"1132","1989","Finland",0,28,"60.1666666666667","24.933333","Europe"
"1133","1989","France",0,48,"48.8666666666667","2.333333","Europe"
"1134","1989","Germany",0,88,"52.5166666666667","13.4","Europe"
"1135","1989","Greece",0,1,"37.9833333333333","23.733333","Europe"
"1136","1989","Hungary",0,6,"47.5","19.083333","Europe"
"1137","1989","Iceland",0,2,"64.15","-21.95","Europe"
"1138","1989","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"1139","1989","Ireland",0,20,"53.3166666666667","-6.233333","Europe"
"1140","1989","Italy",0,57,"41.9","12.483333","Europe"
"1141","1989","Jamaica",0,6,"18","-76.8","North America"
"1142","1989","Japan",0,12,"35.6833333333333","139.75","Asia"
"1143","1989","Lithuania",0,2,"54.6833333333333","25.316667","Europe"
"1144","1989","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"1145","1989","Mexico",0,17,"19.4333333333333","-99.133333","Central America"
"1146","1989","Monaco",0,2,"43.7333333333333","7.416667","Europe"
"1147","1989","Netherlands",0,19,"52.35","4.916667","Europe"
"1148","1989","New Zealand",0,3,"-41.3","174.783333","Australia"
"1149","1989","Norway",0,10,"59.9166666666667","10.75","Europe"
"1150","1989","Pakistan",0,1,"33.6833333333333","73.05","Asia"
"1151","1989","Philippines",0,1,"14.6","120.966667","Asia"
"1152","1989","Poland",0,24,"52.25","21","Europe"
"1153","1989","Portugal",0,3,"38.7166666666667","-9.133333","Europe"
"1154","1989","Romania",0,1,"44.4333333333333","26.1","Europe"
"1155","1989","Russia",0,2,"55.75","37.6","Europe"
"1156","1989","Senegal",0,1,"14.7333333333333","-17.633333","Africa"
"1157","1989","Serbia",0,2,"44.8333333333333","20.5","Europe"
"1158","1989","Slovakia",0,2,"48.15","17.116667","Europe"
"1159","1989","South Africa",0,7,"-25.7","28.216667","Africa"
"1160","1989","Spain",0,39,"40.4","-3.683333","Europe"
"1161","1989","Sweden",0,27,"59.3333333333333","18.05","Europe"
"1162","1989","Switzerland",0,9,"46.9166666666667","7.466667","Europe"
"1163","1989","Turkey",0,8,"39.9333333333333","32.866667","Europe"
"1164","1989","United Kingdom",15,274,"51.5","-0.083333","Europe"
"1165","1989","United States",35,684,"38.883333","-77","Central America"
"1166","1989","Unknown",1,147,"Unknown","Unknown","Unknown"
"1167","1989","Uruguay",0,1,"-34.85","-56.166667","South America"
"1168","1989","Venezuela",0,5,"10.4833333333333","-66.866667","South America"
"1169","1990","Argentina",0,18,"-34.5833333333333","-58.666667","South America"
"1170","1990","Australia",5,33,"-35.2666666666667","149.133333","Australia"
"1171","1990","Austria",0,7,"48.2","16.366667","Europe"
"1172","1990","Belgium",0,8,"50.8333333333333","4.333333","Europe"
"1173","1990","Bermuda",0,1,"32.2833333333333","-64.783333","North America"
"1174","1990","Bosnia and Herzegovina",0,1,"43.8666666666667","18.416667","Europe"
"1175","1990","Brazil",0,41,"-15.7833333333333","-47.916667","South America"
"1176","1990","Canada",0,60,"45.4166666666667","-75.7","Central America"
"1177","1990","Chile",0,5,"-33.45","-70.666667","South America"
"1178","1990","Colombia",0,4,"4.6","-74.083333","South America"
"1179","1990","Croatia",0,5,"45.8","16","Europe"
"1180","1990","Cuba",0,2,"23.1166666666667","-82.35","North America"
"1181","1990","Czech Republic",0,7,"50.0833333333333","14.466667","Europe"
"1182","1990","Denmark",0,12,"55.6666666666667","12.583333","Europe"
"1183","1990","Finland",0,36,"60.1666666666667","24.933333","Europe"
"1184","1990","France",0,57,"48.8666666666667","2.333333","Europe"
"1185","1990","Germany",4,87,"52.5166666666667","13.4","Europe"
"1186","1990","Greece",0,3,"37.9833333333333","23.733333","Europe"
"1187","1990","Hungary",0,8,"47.5","19.083333","Europe"
"1188","1990","Iceland",0,2,"64.15","-21.95","Europe"
"1189","1990","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"1190","1990","Ireland",0,20,"53.3166666666667","-6.233333","Europe"
"1191","1990","Italy",1,54,"41.9","12.483333","Europe"
"1192","1990","Jamaica",0,9,"18","-76.8","North America"
"1193","1990","Japan",0,12,"35.6833333333333","139.75","Asia"
"1194","1990","Lithuania",0,3,"54.6833333333333","25.316667","Europe"
"1195","1990","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"1196","1990","Mexico",0,23,"19.4333333333333","-99.133333","Central America"
"1197","1990","Netherlands",0,18,"52.35","4.916667","Europe"
"1198","1990","New Zealand",0,1,"-41.3","174.783333","Australia"
"1199","1990","Norway",0,10,"59.9166666666667","10.75","Europe"
"1200","1990","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"1201","1990","Peru",0,1,"-12.05","-77.05","South America"
"1202","1990","Philippines",0,2,"14.6","120.966667","Asia"
"1203","1990","Poland",0,20,"52.25","21","Europe"
