"","publicationDate","country","total_awards","albumCount","lat","lon","continent"
"103","1958","Netherlands",0,1,"52.35","4.916667","Europe"
"104","1958","Norway",0,1,"59.9166666666667","10.75","Europe"
"105","1958","Spain",0,1,"40.4","-3.683333","Europe"
"106","1958","Switzerland",0,1,"46.9166666666667","7.466667","Europe"
"107","1958","Trinidad and Tobago",0,1,"10.65","-61.516667","North America"
"108","1958","United Kingdom",0,5,"51.5","-0.083333","Europe"
"109","1958","United States",3,102,"38.883333","-77","Central America"
"110","1958","Unknown",0,6,"Unknown","Unknown","Unknown"
"111","1959","Austria",0,1,"48.2","16.366667","Europe"
"112","1959","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"113","1959","Brazil",0,7,"-15.7833333333333","-47.916667","South America"
"114","1959","Canada",0,1,"45.4166666666667","-75.7","Central America"
"115","1959","France",0,12,"48.8666666666667","2.333333","Europe"
"116","1959","Germany",0,3,"52.5166666666667","13.4","Europe"
"117","1959","Italy",0,1,"41.9","12.483333","Europe"
"118","1959","Mexico",0,2,"19.4333333333333","-99.133333","Central America"
"119","1959","Monaco",0,2,"43.7333333333333","7.416667","Europe"
"120","1959","Portugal",0,1,"38.7166666666667","-9.133333","Europe"
"121","1959","Sweden",0,1,"59.3333333333333","18.05","Europe"
"122","1959","Trinidad and Tobago",0,1,"10.65","-61.516667","North America"
"123","1959","United Kingdom",0,8,"51.5","-0.083333","Europe"
"124","1959","United States",6,145,"38.883333","-77","Central America"
"125","1959","Unknown",0,9,"Unknown","Unknown","Unknown"
"126","1960","Austria",0,1,"48.2","16.366667","Europe"
"127","1960","Brazil",0,7,"-15.7833333333333","-47.916667","South America"
"128","1960","Croatia",0,1,"45.8","16","Europe"
"129","1960","Denmark",0,1,"55.6666666666667","12.583333","Europe"
"130","1960","France",0,16,"48.8666666666667","2.333333","Europe"
"131","1960","Germany",0,4,"52.5166666666667","13.4","Europe"
"132","1960","India",0,1,"28.6","77.2","Asia"
"133","1960","Italy",0,2,"41.9","12.483333","Europe"
"134","1960","United Kingdom",0,6,"51.5","-0.083333","Europe"
"135","1960","United States",4,161,"38.883333","-77","Central America"
"136","1960","Unknown",0,10,"Unknown","Unknown","Unknown"
"137","1961","Australia",0,1,"-35.2666666666667","149.133333","Australia"
"138","1961","Austria",0,3,"48.2","16.366667","Europe"
