year,V1
0,i'm coming out i want the world to know i got to let it show i'm coming out comin 
2007,we fired our guns and the british kept a-comin we fired once more and they began to runnin fired our guns and the british kept a-comin and when we touched the powder off the gator lost his mind 
2001,and we caught the bloody british in the town of new orleans we fired our guns and the british kept a'comin we fired once more and they began to runnin on down the mississippi to the gulf of mexico 
2015,man you took my wife man you took my kids and you took my kids and you stole that life 
2011,i love you red solo cup i lift you up proceed to party thank you for being my friend 
