year,V1
2008,green-eyed lady ocean lady green-eyed lady passion's lady dressed in love she lives for life to be green-eyed lady feels life i never see 
2010,the careless whisper of a good friend though it's easy to pretend and waste the chance that i've been given so i'm never gonna dance again 
2004,tried to take control of the love love took control of me and have a change of mind looks like another love tko i think i'd better 
2015,i ain't lyin no i ain't lyin yeah i can't stand it the way you're always puttin me down i just can't stand it baby the way you're always tryin to put me down i just can't stand it the way you're always runnin round 
2005,calling a name that's lighter than air everyone knows it's windy who's tripping down the streets of the city who's reaching out to capture a moment 
2014,cause every time i close my eyes i think of you i still love you and i wanna be with you 
2006,into this house we're born into this world we're thrown like a dog without a bone an actor out on loan if you give this man a ride sweet memory will die 
2007,he never made her think twice as he rises to her apology he's watching her go what seems to be if love can come and love can go then why can't love return once more 
2008,and know me no you don't even know me you're so sweet to try a girl like you's just irresistible 
2015,you give me fever - you give me fever - when you kiss me fever when you hold me tight - you give me fever fever all through the night fever all through the night - wow 
2005,when we dance you have a way with me other dancers may be on the floor when we sway i go weak i go weak 
2008,and it's been that way too long and be thankful when it's done there's so many ways to act and there's many shades of black 
2015,go away my lover it's not fair but i'm so grateful to discover he's still there i love my ceiling more 
0,how would i know why should i care well let me tell you bout the way she looked the way she acts and the color of her hair well let me tell you about the way she looked 
2008,i just need contemplation over you i'm not the only one that holds you you're my only girl porgy yeah 
2008,for the one who leaves it all behind i love you little girl for the one who leaves it all leave all behind 
2012,don't wanna give in so we both gave up can't take it back it's too late we've reached the climax climax 
2013,to the sound of the breezes that blow you know the night's magic seems to whisper and hush can i just have one more moondance with a-you my love can i just make some more romance with a-you my love 
2013,and i want to rock your gypsy soul and magnificently we will fold and when that fog horn whistle blows i gotta hear it and together we will fold 
2013,and we'll send you glad tidings from new york open up your eyes sa you may see hope that you will come in right on time and they'll lay you down low and easy 
2007,i'm a dweller on the threshold and i'm waiting at the door and i'm standing in the darkness as i cross the burning ground 
2007,i went home and listened to jimmie rodgers in my lunch-break i'm happy cleaning windows i'm a working man in my prime cleaning windows number a hundred and thirty-six 
2007,someone like you will make it all worthwhile keep me satisfied someone exactly like you 
2015,into heaven i'm hurled oh i know how leif erickson felt oh what a dunce i was before what a break for heaven's sake 
1985,now you're here like you've been before that you give good love to me baby you give good love to me baby you give good love 
2009,i need no soft lights to enchant me to hold you ever so tight and to feel in the night the nearness of you 
2009,since i fell for you but i'm still in love with you you love me and then you snub me i guess i'll never see the light 
